condition,nbin,feature,I_raw,I_null,I_corrected,n_used
within_F,5,GNE,0.7391795795141611,0.33505651089613925,0.4041230686180219,1920
within_F,5,SSPF,0.6172140580778249,0.3622624535084157,0.25495160456940924,1810
within_F,5,CPP,0.749060403762754,0.33366168477935787,0.4153987189833961,1920
within_F,5,dCPP,0.4994343002876045,0.3349092208029727,0.1645250794846318,1920
within_F,5,RMS,1.216985026213898,0.33743725148791026,0.8795477747259877,1920
within_F,5,AMD,0.5213364954864774,0.3362574029906532,0.18507909249582422,1920
within_F,5,speech_rate,0.5964962143355796,0.3363084078907221,0.26018780644485756,1920
within_F,5,VOT,0.41698155767704215,0.3515524983434052,0.06542905933363696,1858
within_F,5,BGD,0.37363022369077736,0.3367320260544125,0.03689819763636487,1920
within_F,10,F0,1.6815493846827403,0.766724505393491,0.9148248792892493,1920
within_F,10,jitter,1.016369017550387,0.7662311554359547,0.25013786211443234,1920
within_F,10,shimmer,0.9476460113926262,0.7673419798596858,0.1803040315329404,1920
within_F,10,GCT,1.0574901588226808,0.7678511913480954,0.2896389674745854,1920
within_F,10,CQ,0.9659376609565165,0.7659401827679482,0.19999747818856828,1920
within_F,10,MFDR,1.4955651174714326,0.7674970999518286,0.728068017519604,1920
within_F,10,SQ,1.0936644563126077,0.7658666716420997,0.327797784670508,1920
within_F,10,NAQ,1.0228525493294,0.7670273463212487,0.25582520300815137,1920
within_F,10,SHR,1.2499620961578994,0.7673988462098924,0.48256324994800703,1920
within_F,10,IHI,1.3608866987393835,0.7664584101420158,0.5944282885973677,1920
within_F,10,VFI,1.1305748202131252,0.8441022297404872,0.28647259047263796,1920
within_F,10,semitone_SD_F0,1.1068157247209323,0.7684791705134469,0.3383365542074853,1920
within_F,10,F1,0.8921685312195189,0.7665647778484543,0.12560375337106455,1920
within_F,10,F2,0.8855239314982581,0.7679941938697604,0.11752973762849772,1920
within_F,10,F3,1.1332906364215267,0.7676879103763277,0.36560272604519906,1920
within_F,10,F4,1.3398257744332565,0.7680445899599286,0.5717811844733278,1920
within_F,10,F5,1.3122510406374577,0.7674329108291125,0.5448181298083452,1920
within_F,10,B1,1.145106491549285,0.7681855633959356,0.37692092815334943,1920
within_F,10,B2,1.0176373913142065,0.7690589073640572,0.24857848395014925,1920
within_F,10,B3,1.1810279544256268,0.7677411795321403,0.41328677489348653,1920
within_F,10,B4,1.061064997493502,0.7645232483251347,0.2965417491683673,1920
